Date,Hour,Minute,Volume
20170106,7,15,17141.70
20170106,7,30,16906.60
20170106,7,45,16868.40
20170106,8,0,17033.20
20170106,8,15,17344.90
20170106,8,30,17416.20
20170106,8,45,17598.40
20170106,9,0,18118.50
20170106,9,15,18365.00
20170106,9,30,18538.10
20170106,9,45,18542.30
20170106,10,0,18702.80
20170106,10,15,19041.30
20170106,10,30,19154.30
20170106,10,45,19321.10
20170106,11,0,19315.30
20170106,11,15,19301.00
20170106,11,30,19291.00
20170106,11,45,19536.60
20170106,12,0,19463.80
20170106,12,15,19614.50
20170106,12,30,19652.40
20170106,12,45,19834.20
20170106,13,0,19817.10
20170106,13,15,20062.10
20170106,13,30,20017.30
20170106,13,45,19909.30
20170106,14,0,19830.40
20170106,14,15,19614.70
20170106,14,30,19721.60
20170106,14,45,19751.50
20170106,15,0,19583.20
20170106,15,15,19316.90
20170106,15,30,19554.80
20170106,15,45,19560.60
20170106,16,0,19918.90
20170106,16,15,20580.60
20170106,16,30,20882.00
20170106,16,45,21140.80
20170106,17,0,21302.50
20170106,17,15,21198.50
20170106,17,30,21225.70
20170106,17,45,21136.40
20170106,18,0,21231.20
20170106,18,15,21146.50
20170106,18,30,21090.30
20170106,18,45,20980.80
20170106,19,0,20949.50
20170106,19,15,21248.40
20170106,19,30,21219.30
20170106,19,45,21146.90
20170106,20,0,20884.70
20170106,20,15,20972.00
20170106,20,30,20938.20
20170106,20,45,20618.50
20170106,21,0,20387.10
20170106,21,15,20134.90
20170106,21,30,19955.50
20170106,21,45,19954.50
20170106,22,0,19596.20
20170106,22,15,19671.10
20170106,22,30,19383.60
20170106,22,45,19228.70
20170106,23,0,18916.20
20170106,23,15,18680.30
20170106,23,30,18431.80
20170106,23,45,17908.90
20170106,24,0,17902.70
20170107,0,15,17485.70
20170107,0,30,17232.90
20170107,0,45,16999.10
20170107,1,0,16842.20
20170107,1,15,16779.90
20170107,1,30,16712.60
20170107,1,45,16471.60
20170107,2,0,16450.20
20170107,2,15,16410.10
20170107,2,30,16380.70
20170107,2,45,16367.60
20170107,3,0,16338.10
20170107,3,15,16223.10
20170107,3,30,16153.00
20170107,3,45,16242.00
20170107,4,0,16235.70
20170107,4,15,16317.80
20170107,4,30,16185.30
20170107,4,45,16328.60
20170107,5,0,16414.60
20170107,5,15,16564.60
20170107,5,30,16669.20
20170107,5,45,16742.20
20170107,6,0,16955.90
20170107,6,15,17409.50
20170107,6,30,17655.90
20170107,6,45,17913.50
20170107,7,0,18348.70
20170107,7,15,18528.90
20170107,7,30,18542.90
20170107,7,45,18585.00
20170107,8,0,18791.20
20170107,8,15,19267.80
20170107,8,30,19466.80
20170107,8,45,20033.00
20170107,9,0,20266.20
20170107,9,15,20647.60
20170107,9,30,20649.10
20170107,9,45,20878.80
20170107,10,0,20884.70
20170107,10,15,21253.30
20170107,10,30,21160.40
20170107,10,45,21474.40
20170107,11,0,21446.80
20170107,11,15,21441.80
20170107,11,30,21534.70
20170107,11,45,21477.40
20170107,12,0,21499.70
20170107,12,15,21346.20
20170107,12,30,21276.40
20170107,12,45,21317.60
20170107,13,0,21473.00
20170107,13,15,21758.20
20170107,13,30,21514.70
20170107,13,45,21598.40
20170107,14,0,21292.00
20170107,14,15,21531.50
20170107,14,30,21333.20
20170107,14,45,21212.50
20170107,15,0,20962.40
20170107,15,15,21079.30
20170107,15,30,21138.70
20170107,15,45,21316.80
20170107,16,0,21671.80
20170107,16,15,22309.20
20170107,16,30,22702.20
20170107,16,45,22796.90
20170107,17,0,22847.10
20170107,17,15,22738.90
20170107,17,30,22759.20
20170107,17,45,22709.30
20170107,18,0,22549.40
20170107,18,15,22540.20
20170107,18,30,22409.40
20170107,18,45,22212.20
20170107,19,0,22359.50
20170107,19,15,22193.30
20170107,19,30,22397.20
20170107,19,45,22181.10
20170107,20,0,22126.00
20170107,20,15,22053.80
20170107,20,30,21820.40
20170107,20,45,21481.40
20170107,21,0,21176.80
20170107,21,15,20831.20
